num_date_time,answer
1_20220825 00,2094.632080078125
1_20220825 01,2088.540283203125
1_20220825 02,1939.0875244140625
1_20220825 03,1949.495849609375
1_20220825 04,1941.5145263671875
1_20220825 05,2052.7216796875
1_20220825 06,2304.99560546875
1_20220825 07,2526.457275390625
1_20220825 08,2845.292724609375
1_20220825 09,3146.50341796875
1_20220825 10,3688.523681640625
1_20220825 11,3887.785888671875
1_20220825 12,3886.939453125
1_20220825 13,4237.5185546875
1_20220825 14,4314.98779296875
1_20220825 15,3787.885498046875
1_20220825 16,3673.0126953125
1_20220825 17,3211.663818359375
1_20220825 18,2581.331298828125
1_20220825 19,2257.2197265625
1_20220825 20,2189.799072265625
1_20220825 21,2056.32177734375
1_20220825 22,1709.8519287109375
1_20220825 23,2255.422607421875
1_20220826 00,2241.66259765625
1_20220826 01,2069.72216796875
1_20220826 02,1930.535888671875
1_20220826 03,1885.935791015625
1_20220826 04,1828.770263671875
1_20220826 05,1967.474609375
1_20220826 06,2086.937255859375
1_20220826 07,2350.06103515625
1_20220826 08,2599.988037109375
1_20220826 09,3083.135009765625
1_20220826 10,3644.177001953125
1_20220826 11,3914.4951171875
1_20220826 12,3881.39599609375
1_20220826 13,4287.55224609375
1_20220826 14,4316.43212890625
1_20220826 15,4329.740234375
1_20220826 16,4273.55712890625
1_20220826 17,3224.809326171875
1_20220826 18,2725.829345703125
1_20220826 19,2341.84814453125
1_20220826 20,2110.889404296875
1_20220826 21,1973.3958740234375
1_20220826 22,1584.830322265625
1_20220826 23,2114.347412109375
1_20220827 00,1985.3328857421875
1_20220827 01,1937.99609375
1_20220827 02,1834.85400390625
1_20220827 03,1833.7384033203125
1_20220827 04,1882.544189453125
1_20220827 05,1980.198974609375
1_20220827 06,2076.92431640625
1_20220827 07,2158.987548828125
1_20220827 08,2146.178955078125
1_20220827 09,2632.248046875
1_20220827 10,3239.611083984375
1_20220827 11,3422.366943359375
1_20220827 12,3508.094970703125
1_20220827 13,3474.9755859375
1_20220827 14,3507.52197265625
1_20220827 15,3492.705810546875
1_20220827 16,3405.422119140625
1_20220827 17,2997.9560546875
1_20220827 18,2509.8935546875
1_20220827 19,2145.977783203125
1_20220827 20,2092.398193359375
1_20220827 21,1968.278076171875
1_20220827 22,1710.1258544921875
1_20220827 23,2092.9296875
1_20220828 00,1956.5977783203125
1_20220828 01,1854.4993896484375
1_20220828 02,1655.151123046875
1_20220828 03,1648.766845703125
1_20220828 04,1661.7662353515625
1_20220828 05,1788.9700927734375
1_20220828 06,1812.2496337890625
1_20220828 07,1521.839599609375
1_20220828 08,1570.68505859375
1_20220828 09,2047.9097900390625
1_20220828 10,2621.962646484375
1_20220828 11,2923.359375
1_20220828 12,2809.332275390625
1_20220828 13,2935.296142578125
1_20220828 14,2982.6513671875
1_20220828 15,2955.352783203125
1_20220828 16,3007.7216796875
1_20220828 17,2875.677734375
1_20220828 18,2574.8876953125
1_20220828 19,2308.05224609375
1_20220828 20,2143.1201171875
1_20220828 21,1874.826416015625
1_20220828 22,1471.7762451171875
1_20220828 23,1898.6654052734375
1_20220829 00,2148.690673828125
1_20220829 01,2092.48876953125
1_20220829 02,1955.5335693359375
1_20220829 03,1918.80859375
1_20220829 04,1987.4886474609375
1_20220829 05,2082.97607421875
1_20220829 06,2285.96484375
1_20220829 07,2367.916259765625
1_20220829 08,2555.555419921875
1_20220829 09,2964.413330078125
1_20220829 10,3529.927490234375
1_20220829 11,3862.144287109375
1_20220829 12,3858.527587890625
1_20220829 13,3907.89111328125
1_20220829 14,3889.83203125
1_20220829 15,3813.062255859375
1_20220829 16,3716.125732421875
1_20220829 17,3128.817138671875
1_20220829 18,2637.029296875
1_20220829 19,2152.1826171875
1_20220829 20,2131.910400390625
1_20220829 21,1861.7935791015625
1_20220829 22,1505.448974609375
1_20220829 23,2024.218994140625
1_20220830 00,2066.119140625
1_20220830 01,2041.7127685546875
1_20220830 02,1859.1201171875
1_20220830 03,1758.766357421875
1_20220830 04,1771.910888671875
1_20220830 05,1904.9326171875
1_20220830 06,2069.966064453125
1_20220830 07,2305.47021484375
1_20220830 08,2627.138671875
1_20220830 09,3079.57470703125
1_20220830 10,3964.200927734375
1_20220830 11,4367.9560546875
1_20220830 12,4278.763671875
1_20220830 13,4391.70458984375
1_20220830 14,4345.43994140625
1_20220830 15,4245.65283203125
1_20220830 16,4128.71044921875
1_20220830 17,3677.186767578125
1_20220830 18,2762.1640625
1_20220830 19,2458.1279296875
1_20220830 20,2352.854736328125
1_20220830 21,1821.412841796875
1_20220830 22,1523.804443359375
1_20220830 23,1969.7823486328125
1_20220831 00,2042.1878662109375
1_20220831 01,1990.5003662109375
1_20220831 02,1829.3223876953125
1_20220831 03,1787.881103515625
1_20220831 04,1784.56005859375
1_20220831 05,1871.3443603515625
1_20220831 06,2072.78662109375
1_20220831 07,2291.3544921875
1_20220831 08,2535.401123046875
1_20220831 09,2952.04931640625
1_20220831 10,3586.000244140625
1_20220831 11,4008.15283203125
1_20220831 12,4010.512939453125
1_20220831 13,4032.363037109375
1_20220831 14,3997.33447265625
1_20220831 15,3913.4287109375
1_20220831 16,3739.6513671875
1_20220831 17,3292.294189453125
1_20220831 18,2735.661376953125
1_20220831 19,2279.085205078125
1_20220831 20,2189.054931640625
1_20220831 21,2040.662353515625
1_20220831 22,1701.0264892578125
1_20220831 23,2139.587646484375
2_20220825 00,1288.5242919921875
2_20220825 01,1287.8719482421875
2_20220825 02,1264.443603515625
2_20220825 03,1261.5032958984375
2_20220825 04,1259.85205078125
2_20220825 05,1263.36767578125
2_20220825 06,1279.0159912109375
2_20220825 07,1288.6451416015625
2_20220825 08,1821.8646240234375
2_20220825 09,2047.93896484375
2_20220825 10,2166.29248046875
2_20220825 11,2140.779541015625
2_20220825 12,2146.129638671875
2_20220825 13,2194.745849609375
2_20220825 14,2499.239013671875
2_20220825 15,2208.060302734375
2_20220825 16,2221.405517578125
2_20220825 17,2190.166748046875
2_20220825 18,2153.98291015625
2_20220825 19,1865.8458251953125
2_20220825 20,1745.093017578125
2_20220825 21,1497.84716796875
2_20220825 22,1037.100341796875
2_20220825 23,1283.280517578125
2_20220826 00,1269.84716796875
2_20220826 01,1280.1318359375
2_20220826 02,1266.9423828125
2_20220826 03,1248.1402587890625
2_20220826 04,1246.4864501953125
2_20220826 05,1223.459228515625
2_20220826 06,1216.8585205078125
2_20220826 07,1175.8575439453125
2_20220826 08,1742.588134765625
2_20220826 09,1958.8681640625
2_20220826 10,2133.29296875
2_20220826 11,2074.18798828125
2_20220826 12,2137.48828125
2_20220826 13,2074.949951171875
2_20220826 14,2057.174560546875
2_20220826 15,2322.92041015625
2_20220826 16,2116.07080078125
2_20220826 17,2007.80908203125
2_20220826 18,1991.0
2_20220826 19,1772.1810302734375
2_20220826 20,1693.887939453125
2_20220826 21,1472.017578125
2_20220826 22,1029.805419921875
2_20220826 23,1298.917724609375
2_20220827 00,1296.9359130859375
2_20220827 01,1306.54541015625
2_20220827 02,1289.5167236328125
2_20220827 03,1271.353515625
2_20220827 04,1334.3416748046875
2_20220827 05,1161.595947265625
2_20220827 06,1166.3016357421875
2_20220827 07,1107.98583984375
2_20220827 08,1717.7886962890625
2_20220827 09,1950.537109375
2_20220827 10,1887.5465087890625
2_20220827 11,2122.051025390625
2_20220827 12,2054.85546875
2_20220827 13,2149.085205078125
2_20220827 14,2104.248779296875
2_20220827 15,2120.5673828125
2_20220827 16,2122.76318359375
2_20220827 17,2043.75927734375
2_20220827 18,2001.1671142578125
2_20220827 19,1554.7998046875
2_20220827 20,1223.2835693359375
2_20220827 21,1044.5699462890625
2_20220827 22,888.7737426757812
2_20220827 23,1260.3564453125
2_20220828 00,1212.61572265625
2_20220828 01,1169.8946533203125
2_20220828 02,1175.263671875
2_20220828 03,1098.3970947265625
2_20220828 04,1037.3114013671875
2_20220828 05,952.3883666992188
2_20220828 06,832.3197631835938
2_20220828 07,923.3914184570312
2_20220828 08,1530.427490234375
2_20220828 09,1701.152587890625
2_20220828 10,1898.91650390625
2_20220828 11,1808.1907958984375
2_20220828 12,1891.9854736328125
2_20220828 13,2006.70703125
2_20220828 14,2105.671630859375
2_20220828 15,2128.469482421875
2_20220828 16,2150.598388671875
2_20220828 17,2014.8125
2_20220828 18,1902.138427734375
2_20220828 19,1337.0535888671875
2_20220828 20,1168.1151123046875
2_20220828 21,971.3125
2_20220828 22,856.2950439453125
2_20220828 23,1234.105224609375
2_20220829 00,1252.2442626953125
2_20220829 01,1249.3614501953125
2_20220829 02,1237.19189453125
2_20220829 03,1208.5986328125
2_20220829 04,1217.9677734375
2_20220829 05,1140.0052490234375
2_20220829 06,1183.6556396484375
2_20220829 07,1082.4110107421875
2_20220829 08,1059.5701904296875
2_20220829 09,1025.6488037109375
2_20220829 10,1081.2880859375
2_20220829 11,1291.3270263671875
2_20220829 12,1316.4837646484375
2_20220829 13,1292.1553955078125
2_20220829 14,1138.8466796875
2_20220829 15,1143.9488525390625
2_20220829 16,1086.2640380859375
2_20220829 17,1118.1126708984375
2_20220829 18,1013.9415893554688
2_20220829 19,1061.552001953125
2_20220829 20,1002.2720336914062
2_20220829 21,930.876708984375
2_20220829 22,828.8445434570312
2_20220829 23,1146.76318359375
2_20220830 00,1190.40673828125
2_20220830 01,1211.1988525390625
2_20220830 02,1211.576416015625
2_20220830 03,1168.1634521484375
2_20220830 04,1199.2763671875
2_20220830 05,1160.8330078125
2_20220830 06,1070.0147705078125
2_20220830 07,1085.282958984375
2_20220830 08,1650.2325439453125
2_20220830 09,2023.1378173828125
2_20220830 10,2308.453369140625
2_20220830 11,2149.627685546875
2_20220830 12,2163.925537109375
2_20220830 13,2339.6513671875
2_20220830 14,2344.984375
2_20220830 15,2468.48876953125
2_20220830 16,2455.74072265625
2_20220830 17,2438.838134765625
2_20220830 18,2458.3046875
2_20220830 19,2239.037109375
2_20220830 20,2007.6290283203125
2_20220830 21,1743.9139404296875
2_20220830 22,1000.8327026367188
2_20220830 23,1113.227783203125
